08c3	ENV_PI3
08c4	ENV_PN1
08c5	ENV_PN2
08c6	ENV_PN3
08c7	ENV_AA
08c8	ENV_AD
08c9	ENV_AS
08ca	ENV_AR
08cb	ENV_ALA
08cc	ENV_ALD
0900	BUFFER_RS423_TX
0a00	BUFFER_RS423_RX
0b00	SOFTKEYS
0d00	NMI_HANDLER
8000	ROM_LANGUAGE
8003	ROM_SERVICE
8006	ROM_TYPE
8007	ROM_CC_OFFSET
c300	STARTUP
c31f	_COL16_MASK_TAB
c32f	_COL4_MASK_TAB
c333	_VDU_TABLE_LO
c354	_VDU_TABLE_HI
c375	_MUL640_TABLE
c3b5	_MUL40_TABLE
c3e7	_TEXT_ROW_TABLE
c3ef	_TEXT_COL_TABLE
c3f7	_ULA_SETTINGS
c3ff	_TXT_BPC_TABLE
c406	_LC406
c407	_COL2_MASK_TAB
c40d	_LC40D
c414	_LC414
c41b	_LC41B
c41c	_LC41C
c41d	_LC41D
c420	_LC420
c423	_LC423
c43a	_LC43A
c43d	_LC43D
c440	_LC440
c447	_LC447
c44b	_LC44B
c44f	_LC44F
c454	_LC454
c459	_VDU_MEMSZ_TAB
c45e	_VDU_MEMLOC_TAB
c463	_LC463
c466	_LC466
c469	_LC469
c46e	_CRTC_REG_TAB
c4aa	_LC4AA
c4ae	_LC4AE
c4b2	_LC4B2
c4b6	_TELETEXT_CHAR_TAB
c4ba	_LC4BA
c4c0	_VDUCHR
c4d8	__vdu_check_delete
c4ea	_BC4EA
c4ed	_BC4ED
c4ef	_BC4EF
c511	_VDU_0_6_27
c512	_BC512
c526	_BC526
c52f	_BC52F
c532	_BC532
c534	_BC534
c53b	_VDU_1
c545	_BC545
c553	_BC553
c55e	_LC55E
c561	_BC561
c565	_LC565
c568	_LC568
c580	_BC580
c588	_LC588
c58c	_BC58C
c58d	_VDU_14
c596	_VDU_2
c59b	_VDU_21
c59d	_LC59D
c5a1	_VDU_3
c5a6	_VDU_15
c5a8	_LC5A8
c5aa	_BC5AA
c5ac	_BC5AC
c5ad	_VDU_4
c5b9	_VDU_5
c5c5	_VDU_8
c5ea	__curs_t_wrap_top
c5ee	__curs_t_wrap_left
c5f4	_BC5F4
c5fc	_BC5FC
c60a	_BC60A
c619	_BC619
c61c	_BC61C
c61f	_BC61F
c621	_LC621
c636	_BC636
c64a	_BC64A
c658	_BC658
c65b	_VDU_11
c660	_BC660
c664	_VDU_9
c684	_BC684
c68a	_BC68A
c69b	_BC69B
c6a9	_BC6A9
c6ac	_LC6AC
c6af	_LC6AF
c6b4	_BC6B4
c6b6	_BC6B6
c6cb	_BC6CB
c6df	_BC6DF
c6f0	_VDU_10
c6f5	_BC6F5
c6fa	_VDU_28
c70c	_BC70C
c717	_BC717
c732	_BC732
c735	_OSWORD_9
c737	_BC737
c748	_OSWORD_11
c74f	_BC74F
c750	_BC750
c758	_BC758
c759	_VDU_12
c767	_BC767
c76a	_BC76A
c779	_VDU_30
c781	_BC781
c787	_VDU_31
c7a8	_LC7A8
c7af	_VDU_13
c7b7	_BC7B7
c7bd	_BC7BD
c7c0	_VDU_16
c7e1	_BC7E1
c7f0	_BC7F0
c7f8	_BC7F8
c7f9	_VDU_17
c7fd	_VDU_18
c7ff	_BC7FF
c805	_BC805
c82b	_BC82B
c82c	_BC82C
c833	_BC833
c839	_VDU_20
c83d	_BC83D
c850	_BC850
c868	_BC868
c874	_BC874
c879	_BC879
c885	_BC885
c88f	_LC88F
c892	_VDU_19
c89e	_LC89E
c8ad	_BC8AD
c8ba	_BC8BA
c8cb	_BC8CB
c8cc	_BC8CC
c8e0	_OSWORD_12
c8eb	_VDU_22
c8f1	_VDU_23
c8f8	_VDU_23_DEFINE_CHAR
c920	_BC920
c927	_BC927
c92d	_BC92D
c937	_BC937
